ID_ALL_RAW_DATA,ABUNDANCE,BIOMASS,ID_SPECIES,SAMPLE_DESC,LATITUDE,LONGITUDE,DEPTH,DAY,MONTH,YEAR,STUDY_ID,newID,valid_name,resolution,taxon
297543,4.0,,3639.0,57.62_-2.33_2001_13_6,57.62,-2.33,,13.0,6.0,2001,69,1137,Alca torda,species,Birds
297544,4.0,,3639.0,52.11_-4.63_2000_2_6,52.11,-4.63,,2.0,6.0,2000,69,1137,Alca torda,species,Birds
297545,2.0,,3639.0,53.28_-4.7_2001_23_6,53.28,-4.7,,23.0,6.0,2001,69,1137,Alca torda,species,Birds
297546,3.0,,3639.0,60.32_-1.82_1999_13_6,60.32,-1.82,,13.0,6.0,1999,69,1137,Alca torda,species,Birds
297547,1.0,,3639.0,55.16_-5.14_2001_16_4,55.16,-5.14,,16.0,4.0,2001,69,1137,Alca torda,species,Birds
297548,1.0,,3639.0,58.48_-5.26_2000_9_6,58.48,-5.26,,9.0,6.0,2000,69,1137,Alca torda,species,Birds
297549,2.0,,3639.0,57.44_-6.83_2000_6_6,57.44,-6.83,,6.0,6.0,2000,69,1137,Alca torda,species,Birds
297550,9.0,,3639.0,58.58_-4.92_2000_26_5,58.58,-4.92,,26.0,5.0,2000,69,1137,Alca torda,species,Birds
297551,1.0,,3639.0,57.63_-6.52_2000_15_6,57.63,-6.52,,15.0,6.0,2000,69,1137,Alca torda,species,Birds
297552,2.0,,3639.0,49.81_-6.44_1999_19_5,49.81,-6.44,,19.0,5.0,1999,69,1137,Alca torda,species,Birds
297554,4.0,,3639.0,57.54_-6.68_2001_29_5,57.54,-6.68,,29.0,5.0,2001,69,1137,Alca torda,species,Birds
297555,1.0,,3639.0,50.01_-5.77_1999_12_5,50.01,-5.77,,12.0,5.0,1999,69,1137,Alca torda,species,Birds
297556,6.0,,3639.0,57.36_-1.83_2001_23_6,57.36,-1.83,,23.0,6.0,2001,69,1137,Alca torda,species,Birds
297557,1.0,,3639.0,57.54_-6.68_2000_15_6,57.54,-6.68,,15.0,6.0,2000,69,1137,Alca torda,species,Birds
297558,1.0,,3639.0,56.55_-2.65_2000_19_6,56.55,-2.65,,19.0,6.0,2000,69,1137,Alca torda,species,Birds
297559,1.0,,3639.0,58.52_-3.2_1999_6_7,58.52,-3.2,,6.0,7.0,1999,69,1137,Alca torda,species,Birds
297560,1.0,,3639.0,58.97_-2.69_1999_12_7,58.97,-2.69,,12.0,7.0,1999,69,1137,Alca torda,species,Birds
297561,2.0,,3639.0,60.76_-1.08_1999_23_6,60.76,-1.08,,23.0,6.0,1999,69,1137,Alca torda,species,Birds
297562,1.0,,3639.0,56.37_-6.53_1999_24_6,56.37,-6.53,,24.0,6.0,1999,69,1137,Alca torda,species,Birds
297563,4.0,,3639.0,58.15_-3.53_1999_23_6,58.15,-3.53,,23.0,6.0,1999,69,1137,Alca torda,species,Birds
297564,1.0,,3639.0,58.06_-3.69_1999_18_6,58.06,-3.69,,18.0,6.0,1999,69,1137,Alca torda,species,Birds
297565,1.0,,3639.0,58.15_-3.7_1999_18_6,58.15,-3.7,,18.0,6.0,1999,69,1137,Alca torda,species,Birds
297566,2.0,,3639.0,58.18_-6.25_1999_7_6,58.18,-6.25,,7.0,6.0,1999,69,1137,Alca torda,species,Birds
297567,1.0,,3639.0,54.74_-3.86_1998_6_6,54.74,-3.86,,6.0,6.0,1998,69,1137,Alca torda,species,Birds
297568,2.0,,3639.0,56.03_-6.17_2000_15_6,56.03,-6.17,,15.0,6.0,2000,69,1137,Alca torda,species,Birds
297569,2.0,,3639.0,56.03_-6.17_1999_17_6,56.03,-6.17,,17.0,6.0,1999,69,1137,Alca torda,species,Birds
297572,4.0,,3639.0,60.05_-1.1_2000_31_5,60.05,-1.1,,31.0,5.0,2000,69,1137,Alca torda,species,Birds
297573,3.0,,3639.0,52.74_-4.81_2000_2_7,52.74,-4.81,,2.0,7.0,2000,69,1137,Alca torda,species,Birds
297574,1.0,,3639.0,54.11_-0.31_2000_13_6,54.11,-0.31,,13.0,6.0,2000,69,1137,Alca torda,species,Birds
297575,5.0,,3639.0,54.11_-0.31_2000_16_6,54.11,-0.31,,16.0,6.0,2000,69,1137,Alca torda,species,Birds
297576,1.0,,3639.0,54.11_-0.31_2000_5_6,54.11,-0.31,,5.0,6.0,2000,69,1137,Alca torda,species,Birds
297577,1.0,,3639.0,56.01_-2.64_1999_13_6,56.01,-2.64,,13.0,6.0,1999,69,1137,Alca torda,species,Birds
297578,2.0,,3639.0,50.3_-5.23_2000_13_5,50.3,-5.23,,13.0,5.0,2000,69,1137,Alca torda,species,Birds
297579,4.0,,3639.0,57.62_-2.5_2001_25_6,57.62,-2.5,,25.0,6.0,2001,69,1137,Alca torda,species,Birds
297580,2.0,,3639.0,50.67_-4.69_2000_5_6,50.67,-4.69,,5.0,6.0,2000,69,1137,Alca torda,species,Birds
297581,1.0,,3639.0,56.77_-7.73_1998_15_6,56.77,-7.73,,15.0,6.0,1998,69,1137,Alca torda,species,Birds
297582,2.0,,3639.0,58.15_-3.53_1999_21_6,58.15,-3.53,,21.0,6.0,1999,69,1137,Alca torda,species,Birds
297583,2.0,,3639.0,51.56_-5.17_2000_3_6,51.56,-5.17,,3.0,6.0,2000,69,1137,Alca torda,species,Birds
297584,1.0,,3639.0,55.74_-2_2000_10_6,55.74,-2.0,,10.0,6.0,2000,69,1137,Alca torda,species,Birds
297585,1.0,,3639.0,55.74_-2.16_2000_10_6,55.74,-2.16,,10.0,6.0,2000,69,1137,Alca torda,species,Birds
297586,5.0,,3639.0,55.56_-1.68_2000_16_6,55.56,-1.68,,16.0,6.0,2000,69,1137,Alca torda,species,Birds
297587,3.0,,3639.0,60.49_-0.9_1999_22_6,60.49,-0.9,,22.0,6.0,1999,69,1137,Alca torda,species,Birds
297588,1.0,,3639.0,54.63_-4.79_2000_19_6,54.63,-4.79,,19.0,6.0,2000,69,1137,Alca torda,species,Birds
297590,4.0,,3639.0,57.27_-6.64_2001_30_5,57.27,-6.64,,30.0,5.0,2001,69,1137,Alca torda,species,Birds
297591,1.0,,3639.0,57.19_-6.47_2001_31_5,57.19,-6.47,,31.0,5.0,2001,69,1137,Alca torda,species,Birds
297592,4.0,,3639.0,59.05_-3.39_1999_22_6,59.05,-3.39,,22.0,6.0,1999,69,1137,Alca torda,species,Birds
297593,3.0,,3639.0,58.88_-2.86_1999_29_5,58.88,-2.86,,29.0,5.0,1999,69,1137,Alca torda,species,Birds
