ID_ALL_RAW_DATA,ABUNDANCE,BIOMASS,ID_SPECIES,SAMPLE_DESC,LATITUDE,LONGITUDE,DEPTH,DAY,MONTH,YEAR,STUDY_ID,newID,species,resolution,taxon,kingdom,phylum,class,order,family,genus
498554,1.0,,4033,33.8162_-123.435_1995_1_19_4312,33.8162,-123.435,-4312.0,19.0,1.0,1995,169,21120,Larus californicus,species,Birds,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus
179769,5.0,,2823,37.9667_-29.05_2000_5_14_1023,37.9667,-29.05,-1023.0,14.0,5.0,2000,172,11911,Delphinus delphis,species,Marine mammals,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Delphinus
496374,1.0,,4373,33.4761_-122.547_1999_4_13_4046,33.4761,-122.547,-4046.0,13.0,4.0,1999,169,35073,Rissa tridactyla,species,Birds,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa
4285555,1092.0,594.64,5026,54.41_-165.5_2003_7_2_106,54.41,-165.5,-106.0,2.0,7.0,2003,163,4732,Bathymaster signatus,species,Fish,Animalia,Chordata,Actinopterygii,Perciformes,Bathymasteridae,Bathymaster
718277,2.0,,3729,41.35_-75.25_1978_3511,41.35,-75.25,,,,1978,195,5924,Buteo jamaicensis,species,Birds,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo
678268,1.0,,4539,61.2833_-65.0667_1974_9_6,61.2833,-65.0667,,6.0,9.0,1974,166,41436,Uria lomvia,species,Birds,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria
4996288,1.0,,15515,-21.835_149.895_2003_12_2_20.5,-21.835,149.895,-20.5,2.0,12.0,2003,186,17329,Gonodactylaceus graphurus,species,Marine/freshwater invertebrates,Animalia,Arthropoda,Malacostraca,Stomatopoda,Gonodactylidae,Gonodactylaceus
313270,4.0,,3780,50.6333_-50.1333_1978_8_24,50.6333,-50.1333,,24.0,8.0,1978,166,38201,Stercorarius skua,species,Birds,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius
884315,26.0,,3892,42.5167_-86.1333_2003_2030,42.5167,-86.1333,,,,2003,195,36820,Setophaga petechia,species,Birds,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga
730135,42.0,,3762,33.5333_-87_2002_16,33.5333,-87.0,,,,2002,195,6972,Cardinalis cardinalis,species,Birds,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Cardinalis
749171,15.0,,3771,48.1167_-123.383_1998_4433,48.1167,-123.383,,,,1998,195,37716,Spinus tristis,species,Birds,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus
9586229,1.0,,4371,45.333573_-111.129254_2004_6_20,45.333573,-111.129254,,20.0,6.0,2004,217,34605,Regulus satrapa,species,Birds,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus
6143381,3.0,,35247,6.3947_-162.346_2010_4_17_46.5,6.3947,-162.346,-46.5,17.0,4.0,2010,122,38264,Steroenepthya,genus,Invertebrates,Animalia,Cnidaria,Anthozoa,Alcyonacea,Nephtheidae,
469550,9.0,,4120,39.6167_-73.3333_1984_3_22,39.6167,-73.3333,,22.0,3.0,1984,166,25236,Morus bassanus,species,Birds,Animalia,Chordata,Aves,Suliformes,Sulidae,Morus
16986466,560.36,,33713,EMP_NZD16_2016_01_05,38.097222,-121.666667,,5.0,1.0,2016,560,32187,Polyarthra,genus,Invertebrates,Animalia,Rotifera,Monogononta,Ploima,Synchaetidae,
584697,3.0,,3422,42.7667_-66.35_1985_11_2,42.7667,-66.35,,2.0,11.0,1985,166,34152,Puffinus gravis,species,Birds,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus
7589925,1.0,0.1,5223,36.883331_-74.650002_1997_2_6_129,36.883331,-74.650002,-129.0,6.0,2.0,1997,213,6666,Cancer irroratus,species,Marine/freshwater invertebrates,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer
3799767,1.0,,7058,41.152334_-67.9785_1990_2_26_Canada_17.5,41.152334,-67.9785,-17.5,26.0,2.0,1990,288,24172,Merluccius bilinearis,species,Fish,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius
4538919,8.0,14.81,21387,58.99_-173.5_2003_7_2_69,58.99,-173.5,-69.0,2.0,7.0,2003,163,31844,Pleuronectes quadrituberculatus,species,Fish,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes
486530,1.0,,4141,35.1333_-75.1_1985_8_30,35.1333,-75.1,,30.0,8.0,1985,166,27289,Oceanites oceanicus,species,Birds,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanites
346615,14.0,,3962,47.4833_-59.2833_1972_2_1,47.4833,-59.2833,,1.0,2.0,1972,166,16271,Fulmarus glacialis,species,Birds,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus
1005230,1.0,,4092,35.9833_-77.4167_1991_2832,35.9833,-77.4167,,,,1991,195,23872,Melanerpes erythrocephalus,species,Birds,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes
16513104,14.0,,4468,2008_NatStnReg-ID:00182339,55.573,13.625,,19.0,5.0,2008,634,38546,Sturnus vulgaris,species,Birds,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus
319817,1.0,,3811,-25.21_28.5_1995_7_15,-25.21,28.5,,15.0,7.0,1995,67,8624,Chlidonias leucopterus,species,Birds,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias
387927,53.0,,3101,40.45_-67.9_1987_12_8,40.45,-67.9,,8.0,12.0,1987,166,21865,Leucopleurus acutus,species,Marine mammals,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Lagenorhynchus
3444875,2.0,,6811,42.48_-64.68_1990_7_128,42.48,-64.68,-128.0,11.0,7.0,1990,180,21868,Leucoraja erinaceus,species,Fish,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Leucoraja
817259,61.0,,3832,39.4333_-90.1667_1990_1388,39.4333,-90.1667,,,,1990,195,9842,Colinus virginianus,species,Birds,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Colinus
5978217,89.0,,32489,45.84_-59.74_2001_7_20_39,45.84,-59.74,-39.0,20.0,7.0,2001,176,27548,Oithona,genus,Marine/freshwater invertebrates,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,
154608,5.0,,2631,39.0325_-28.0894_2008_8_8_6,39.0325,-28.0894,-6.0,8.0,8.0,2008,172,6472,Calonectris diomedea,species,Birds,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Calonectris
652705,1.0,,4470,7.1_-80.7333_1970_6_22,7.1,-80.7333,,22.0,6.0,1970,166,38664,Sula dactylatra,species,Birds,Animalia,Chordata,Aves,Suliformes,Sulidae,Sula
680147,1.0,,4538,37.4953_-122.998_2005_5_13_317,37.4953,-122.998,-317.0,13.0,5.0,2005,169,41435,Uria aalge,species,Birds,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria
747181,20.0,,3771,44.0167_-91.4167_2007_4634,44.0167,-91.4167,,,,2007,195,37716,Spinus tristis,species,Birds,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus
17255379,3.21888,,36708,10398_17_5_2006,50.85547,-1.663974,,17.0,5.0,2006,846,4598,Barbatula barbatula,species,Fish,Animalia,Chordata,Actinopterygii,Cypriniformes,Nemacheilidae,Barbatula
142950,5.0,,2631,37.6557_-26.3748_2008_6_4_2246,37.6557,-26.3748,-2246.0,4.0,6.0,2008,172,6472,Calonectris diomedea,species,Birds,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Calonectris
1188865,12.0,,4380,45.6333_-92.25_1998_4612,45.6333,-92.25,,,,1998,195,35759,Sayornis phoebe,species,Birds,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis
210118,1.0,,2984,38.5303_-28.9959_2003_5_21_516,38.5303,-28.9959,-516.0,21.0,5.0,2003,172,17463,Grampus griseus,species,Marine mammals,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Grampus
4200680,1.0,,8752,49.33955_-126.9575_1993_5_6_148.5,49.33955,-126.9575,-148.5,6.0,5.0,1993,178,39820,Thaleichthys pacificus,species,Fish,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys
7931234,9.0,9.1,6234,43.166668_-68.783333_1975_11_18_174,43.166668,-68.783333,-174.0,18.0,11.0,1975,213,17093,Glyptocephalus cynoglossus,species,Fish,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus
